month,rep_id,region,division,product,tenure_months,monthly_target,sales_units,target_ach_pct,doctor_coverage,calls_made,new_doctors_added,avg_rx_per_doctor
2021-01,REP0001,East,Neurology,AlzCare 10mg,8,276.0,233.0,84.4,13,46,2,17.92
2021-02,REP0001,East,Neurology,AlzCare 10mg,9,276.0,225.0,81.5,18,63,0,12.5
2021-03,REP0001,East,Neurology,AlzCare 10mg,10,276.0,265.0,96.0,20,78,3,13.25
2021-04,REP0001,East,Neurology,AlzCare 10mg,11,276.0,244.0,88.4,14,53,2,17.43
2021-05,REP0001,East,Neurology,AlzCare 10mg,12,276.0,299.0,108.3,33,120,3,9.06
2021-06,REP0001,East,Neurology,AlzCare 10mg,13,276.0,315.0,114.1,20,67,2,15.75
2021-07,REP0001,East,Neurology,AlzCare 10mg,14,276.0,272.0,98.5,17,55,2,16.0
2021-08,REP0001,East,Neurology,AlzCare 10mg,15,276.0,331.0,119.9,10,40,0,33.1
2021-09,REP0001,East,Neurology,AlzCare 10mg,16,276.0,255.0,92.3,22,77,0,11.59
2021-10,REP0001,East,Neurology,AlzCare 10mg,17,276.0,235.0,85.1,20,64,2,11.75
2021-11,REP0001,East,Neurology,AlzCare 10mg,18,276.0,240.0,86.9,15,69,2,16.0
2021-12,REP0001,East,Neurology,AlzCare 10mg,19,276.0,197.0,71.3,18,57,3,10.94
2022-01,REP0001,East,Neurology,AlzCare 10mg,20,276.0,226.0,81.8,17,63,3,13.29
2022-02,REP0001,East,Neurology,AlzCare 10mg,21,276.0,229.0,82.9,16,52,1,14.31
2022-03,REP0001,East,Neurology,AlzCare 10mg,22,276.0,309.0,111.9,19,56,3,16.26
2022-04,REP0001,East,Neurology,AlzCare 10mg,23,276.0,337.0,122.0,22,64,1,15.32
2022-05,REP0001,East,Neurology,AlzCare 10mg,24,276.0,332.0,120.2,15,56,2,22.13
2022-06,REP0001,East,Neurology,AlzCare 10mg,25,276.0,284.0,102.9,17,33,0,16.71
2022-07,REP0001,East,Neurology,AlzCare 10mg,26,276.0,298.0,107.9,13,58,0,22.92
2022-08,REP0001,East,Neurology,AlzCare 10mg,27,276.0,282.0,102.1,18,74,0,15.67
2022-09,REP0001,East,Neurology,AlzCare 10mg,28,276.0,303.0,109.7,18,55,2,16.83
2022-10,REP0001,East,Neurology,AlzCare 10mg,29,276.0,266.0,96.3,15,53,1,17.73
2022-11,REP0001,East,Neurology,AlzCare 10mg,30,276.0,253.0,91.6,20,82,0,12.65
2022-12,REP0001,East,Neurology,AlzCare 10mg,31,276.0,289.0,104.7,10,33,2,28.9
2023-01,REP0001,East,Neurology,AlzCare 10mg,32,276.0,258.0,93.4,15,50,1,17.2
2023-02,REP0001,East,Neurology,AlzCare 10mg,33,276.0,253.0,91.6,21,76,1,12.05
2023-03,REP0001,East,Neurology,AlzCare 10mg,34,276.0,304.0,110.1,19,73,2,16.0
2023-04,REP0001,East,Neurology,AlzCare 10mg,35,276.0,282.0,102.1,15,58,2,18.8
2023-05,REP0001,East,Neurology,AlzCare 10mg,36,276.0,315.0,114.1,18,73,1,17.5
2023-06,REP0001,East,Neurology,AlzCare 10mg,37,276.0,335.0,121.3,17,57,3,19.71
2023-07,REP0001,East,Neurology,AlzCare 10mg,38,276.0,339.0,122.8,21,83,2,16.14
2023-08,REP0001,East,Neurology,AlzCare 10mg,39,276.0,323.0,117.0,16,58,1,20.19
2023-09,REP0001,East,Neurology,AlzCare 10mg,40,276.0,292.0,105.7,20,63,4,14.6
2023-10,REP0001,East,Neurology,AlzCare 10mg,41,276.0,252.0,91.3,13,54,2,19.38
2023-11,REP0001,East,Neurology,AlzCare 10mg,42,276.0,275.0,99.6,20,69,0,13.75
2023-12,REP0001,East,Neurology,AlzCare 10mg,43,276.0,260.0,94.2,15,60,1,17.33
2021-01,REP0002,West,Cardiology,BPControl 20mg,17,144.0,164.0,113.9,19,66,2,8.63
2021-02,REP0002,West,Cardiology,BPControl 20mg,18,144.0,142.0,98.6,16,63,1,8.88
2021-03,REP0002,West,Cardiology,BPControl 20mg,19,144.0,172.0,119.4,13,49,0,13.23
2021-04,REP0002,West,Cardiology,BPControl 20mg,20,144.0,187.0,129.9,17,45,3,11.0
2021-05,REP0002,West,Cardiology,BPControl 20mg,21,144.0,189.0,131.2,25,99,0,7.56
2021-06,REP0002,West,Cardiology,BPControl 20mg,22,144.0,182.0,126.4,13,32,1,14.0
2021-07,REP0002,West,Cardiology,BPControl 20mg,23,144.0,215.0,149.3,10,41,2,21.5
2021-08,REP0002,West,Cardiology,BPControl 20mg,24,144.0,194.0,134.7,20,61,2,9.7
2021-09,REP0002,West,Cardiology,BPControl 20mg,25,144.0,168.0,116.7,8,28,0,21.0
2021-10,REP0002,West,Cardiology,BPControl 20mg,26,144.0,184.0,127.8,16,56,2,11.5
2021-11,REP0002,West,Cardiology,BPControl 20mg,27,144.0,156.0,108.3,17,66,0,9.18
2021-12,REP0002,West,Cardiology,BPControl 20mg,28,144.0,148.0,102.8,14,60,1,10.57
2022-01,REP0002,West,Cardiology,BPControl 20mg,29,144.0,158.0,109.7,15,50,1,10.53
2022-02,REP0002,West,Cardiology,BPControl 20mg,30,144.0,175.0,121.5,13,34,1,13.46
2022-03,REP0002,West,Cardiology,BPControl 20mg,31,144.0,169.0,117.4,12,39,0,14.08
2022-04,REP0002,West,Cardiology,BPControl 20mg,32,144.0,218.0,151.4,12,36,1,18.17
2022-05,REP0002,West,Cardiology,BPControl 20mg,33,144.0,228.0,158.3,11,39,3,20.73
2022-06,REP0002,West,Cardiology,BPControl 20mg,34,144.0,199.0,138.2,13,44,3,15.31
2022-07,REP0002,West,Cardiology,BPControl 20mg,35,144.0,192.0,133.3,23,82,3,8.35
2022-08,REP0002,West,Cardiology,BPControl 20mg,36,144.0,198.0,137.5,16,69,2,12.38
2022-09,REP0002,West,Cardiology,BPControl 20mg,37,144.0,187.0,129.9,21,80,2,8.9
2022-10,REP0002,West,Cardiology,BPControl 20mg,38,144.0,155.0,107.6,15,47,1,10.33
2022-11,REP0002,West,Cardiology,BPControl 20mg,39,144.0,155.0,107.6,15,55,2,10.33
2022-12,REP0002,West,Cardiology,BPControl 20mg,40,144.0,164.0,113.9,16,66,1,10.25
2023-01,REP0002,West,Cardiology,BPControl 20mg,41,144.0,181.0,125.7,15,55,3,12.07
2023-02,REP0002,West,Cardiology,BPControl 20mg,42,144.0,140.0,97.2,15,57,3,9.33
2023-03,REP0002,West,Cardiology,BPControl 20mg,43,144.0,192.0,133.3,18,75,3,10.67
2023-04,REP0002,West,Cardiology,BPControl 20mg,44,144.0,187.0,129.9,18,65,4,10.39
2023-05,REP0002,West,Cardiology,BPControl 20mg,45,144.0,225.0,156.2,17,61,0,13.24
2023-06,REP0002,West,Cardiology,BPControl 20mg,46,144.0,230.0,159.7,20,79,1,11.5
2023-07,REP0002,West,Cardiology,BPControl 20mg,47,144.0,214.0,148.6,16,46,1,13.38
2023-08,REP0002,West,Cardiology,BPControl 20mg,48,144.0,174.0,120.8,21,56,4,8.29
2023-09,REP0002,West,Cardiology,BPControl 20mg,49,144.0,166.0,115.3,23,73,2,7.22
2023-10,REP0002,West,Cardiology,BPControl 20mg,50,144.0,171.0,118.7,24,84,3,7.12
2023-11,REP0002,West,Cardiology,BPControl 20mg,51,144.0,175.0,121.5,19,71,1,9.21
2023-12,REP0002,West,Cardiology,BPControl 20mg,52,144.0,154.0,106.9,12,42,1,12.83
2021-01,REP0003,North,Oncology,OncoPure 50mg,39,88.0,103.0,117.7,14,43,1,7.36
2021-02,REP0003,North,Oncology,OncoPure 50mg,40,88.0,130.0,148.5,17,49,2,7.65
2021-03,REP0003,North,Oncology,OncoPure 50mg,41,88.0,122.0,139.4,18,69,2,6.78
2021-04,REP0003,North,Oncology,OncoPure 50mg,42,88.0,135.0,154.2,14,63,2,9.64
2021-05,REP0003,North,Oncology,OncoPure 50mg,43,88.0,138.0,157.7,14,52,2,9.86
2021-06,REP0003,North,Oncology,OncoPure 50mg,44,88.0,123.0,140.5,11,40,1,11.18
2021-07,REP0003,North,Oncology,OncoPure 50mg,45,88.0,137.0,156.5,12,29,2,11.42
2021-08,REP0003,North,Oncology,OncoPure 50mg,46,88.0,126.0,143.9,9,42,0,14.0
2021-09,REP0003,North,Oncology,OncoPure 50mg,47,88.0,148.0,169.1,15,55,3,9.87
2021-10,REP0003,North,Oncology,OncoPure 50mg,48,88.0,130.0,148.5,25,75,0,5.2
2021-11,REP0003,North,Oncology,OncoPure 50mg,49,88.0,113.0,129.1,21,73,0,5.38
2021-12,REP0003,North,Oncology,OncoPure 50mg,50,88.0,114.0,130.2,17,57,0,6.71
2022-01,REP0003,North,Oncology,OncoPure 50mg,51,88.0,119.0,135.9,18,77,1,6.61
2022-02,REP0003,North,Oncology,OncoPure 50mg,52,88.0,123.0,140.5,21,59,5,5.86
2022-03,REP0003,North,Oncology,OncoPure 50mg,53,88.0,121.0,138.2,19,71,1,6.37
2022-04,REP0003,North,Oncology,OncoPure 50mg,54,88.0,154.0,175.9,19,64,2,8.11
2022-05,REP0003,North,Oncology,OncoPure 50mg,55,88.0,148.0,169.1,18,70,0,8.22
2022-06,REP0003,North,Oncology,OncoPure 50mg,56,88.0,134.0,153.1,9,47,4,14.89
2022-07,REP0003,North,Oncology,OncoPure 50mg,57,88.0,148.0,169.1,13,64,1,11.38
2022-08,REP0003,North,Oncology,OncoPure 50mg,58,88.0,134.0,153.1,18,66,2,7.44
2022-09,REP0003,North,Oncology,OncoPure 50mg,59,88.0,136.0,155.4,17,64,1,8.0
2022-10,REP0003,North,Oncology,OncoPure 50mg,60,88.0,127.0,145.1,19,72,2,6.68
2022-11,REP0003,North,Oncology,OncoPure 50mg,61,88.0,112.0,128.0,19,71,0,5.89
2022-12,REP0003,North,Oncology,OncoPure 50mg,62,88.0,112.0,128.0,20,83,2,5.6
2023-01,REP0003,North,Oncology,OncoPure 50mg,63,88.0,134.0,153.1,16,58,2,8.38
2023-02,REP0003,North,Oncology,OncoPure 50mg,64,88.0,100.0,114.2,24,69,3,4.17
